name,course,year,semester,paidfees,completedModuleCodes
John Doe,LM051,2,1,true,"[CS4111 CS4112]"
Jane Smith,CE072,3,2,false,"[CE1108 CE1109 CE1110 CS4111 CE1111]"
Alice Johnson,LM087,1,1,true,"[]"
Bob Brown,EG089,4,2,false,"[CE1108 EG2320 EG2321 EG2322 EG2323 CS4111 CE1110]"
Mary White,LM101,2,1,true,"[CS4004 CS4005]"
David Green,CE119,1,2,false,"[CE3412]"
Emma Black,LM051,3,1,true,"[CS4111 CS4112 CS4113 CS4114]"
Michael Blue,CE072,4,2,true,"[CE1108 CE1109 CE1110 CS4111 CE1111 CE1112 CS4087]"
Sophie Gray,EG089,2,1,false,"[CE1108 EG2320]"
James Red,LM087,1,2,true,"[CS4111]"
Olivia Pink,LM101,4,1,false,"[CS4004 CS4005 CE4111 CS4006 CS4007 CE4114]"
Lucas Purple,CE119,3,2,true,"[CE3412 CE3413 CE3414 CE3415 CE3416]"
Isabella Silver,LM051,1,1,true,"[]"
Ethan Gold,CE072,2,2,false,"[CE1108 CE1109 CE1110]"
Mia Brown,LM087,3,1,true,"[CS4111 CS5001 CS5002 CS5003]"
Ryan White,EG089,4,1,false,"[CE1108 EG2320 EG2321 EG2322 EG2323 CS4111]"
Charlotte Blue,LM101,2,2,true,"[CS4004 CS4005 CE4111]"
Benjamin Green,CE119,1,1,true,"[]"
Amelia Yellow,LM051,4,1,false,"[CS4111 CS4112 CS4113 CS4114 CS4115 CS4116]"
Elijah Black,CE072,3,2,true,"[CE1108 CE1109 CE1110 CS4111 CE1111]"
Chloe Pink,LM087,2,1,false,"[CS4111 CS5001]"
Daniel Red,EG089,1,2,true,"[CE1108]"
Ella Gray,LM101,4,2,true,"[CS4004 CS4005 CE4111 CS4006 CS4007 CE4114 CS4008]"
Jacob Brown,CE119,2,1,true,"[CE3412 CE3413]"
